Duration,Received echo requests,Attack
81.1111, 62198, 1
179.254, 137753, 1
459.533, 345751, 1
423.349, 318103, 1
477.541, 345339, 1
389.165, 293515, 1
57.4305, 40341, 1
374.491, 281947, 1
196.055, 163764, 1
347.521, 288246, 1
432.211, 369073, 1
484.422, 359177, 1
81.8043, 69502, 1
336.719, 285785, 1
448.936, 322423, 1
259.306, 209267, 1
333.142, 277913, 1
12.7039, 10062, 1
227.709, 192463, 1
131.754, 114126, 1
306.032, 262501, 1
13.8156, 11410, 1
49.6588, 42213, 1
474.928, 365830, 1
435.707, 380607, 1
361.472, 282296, 1
162.152, 116521, 1
5.59779, 4103, 1
231.988, 201965, 1
356.619, 288680, 1
2.14545, 1653, 1
347.595, 305020, 1
358.097, 290243, 1
342.734, 306754, 1
332.919, 357681, 1
145.406, 142977, 1
193.739, 169982, 1
181.397, 171027, 1
43.7467, 40825, 1
155.409, 147567, 1
56.9344, 54013, 1
375.305, 356120, 1
384.767, 356749, 1
167.045, 151784, 1
252.568, 234234, 1
331.346, 316116, 1
34.397, 31224, 1
445.893, 411840, 1
114.055, 107424, 1
288.816, 258337, 1
252.767, 218135, 1
406.009, 374420, 1
179.984, 173833, 1
81.6409, 81111, 1
328.814, 317352, 1
63.3277, 61359, 1
93.3594, 92410, 1
31.7084, 30858, 1
66.163, 64362, 1
253.303, 250059, 1
264.211, 276171, 1
324.757, 346698, 1
347.102, 356848, 1
166.131, 169310, 1
480.641, 492210, 1
35.5398, 37280, 1
172.897, 180863, 1
75.0864, 74016, 1
180.033, 167527, 1
301.696, 284980, 1
421.409, 393392, 1
469.68, 446402, 1
173.269, 166019, 1
416.699, 400635, 1
492.18, 476194, 1
472.955, 452789, 1
239.811, 217927, 1
258.736, 219747, 1
83.455, 82511, 1
401.846, 412364, 1
318.05, 324361, 1
466.95, 469279, 1
37.227, 36655, 1
491.221, 485798, 1
468.396, 445251, 1
208.21, 198572, 1
111.387, 106317, 1
60.7592, 57890, 1
81.2447, 76490, 1
214.509, 203191, 1
263.277, 251623, 1
277.52, 232552, 1
378.595, 232038, 1
151.249, 97188, 1
187.948, 120932, 1
410.958, 298042, 1
321.615, 298497, 1
168.213, 163670, 1
373.775, 373727, 1
84.0908, 81883, 1
24.1207, 23048, 1
160.201, 153975, 1
169.324, 161887, 1
335.009, 324451, 1
232.443, 216270, 1
353.611, 324369, 1
